----------------------------969969099448951372522494
Content-Disposition: form-data; name="file"; filename="RawData.csv"
Content-Type: text/csv

"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.001801320E-1,2.782230079E-1,1.748399995E-2,5.480099842E-2,2.841071661E-1
1.051930550E-1,2.866080105E-1,5.293799937E-2,4.255000129E-2,2.945455586E-1
1.102057470E-1,2.860850096E-1,6.601700187E-2,-1.179299969E-2,2.938400110E-1
1.152186550E-1,3.405140042E-1,9.320499748E-2,-5.264100060E-2,3.569426194E-1
1.202315780E-1,3.949899971E-1,5.233699828E-2,-7.987999916E-2,4.063706110E-1
1.252445010E-1,4.630909860E-1,-2.143000020E-3,-9.350100160E-2,4.724407805E-1
1.302573470E-1,5.448129773E-1,-7.024499774E-2,-9.350100160E-2,5.572234536E-1
1.352700690E-1,3.813059926E-1,1.403090060E-1,-9.851299971E-2,4.180737833E-1
1.402829920E-1,1.864459962E-1,3.971959949E-1,-5.179699883E-2,4.418254145E-1
1.452959340E-1,2.677440047E-1,3.835609853E-1,9.452400357E-2,4.772218235E-1
1.503087800E-1,3.330799937E-1,3.318040073E-1,2.712459862E-1,5.427804036E-1
1.553214190E-1,3.872840106E-1,2.639740109E-1,4.346570075E-1,6.392166280E-1
1.603342660E-1,3.181940019E-1,3.311899900E-1,5.286129713E-1,7.002613125E-1
1.653472130E-1,2.490019947E-1,3.988679945E-1,5.982139707E-1,7.608926502E-1
1.703601360E-1,3.006210029E-1,3.615550101E-1,7.060030103E-1,8.482542444E-1
1.753730640E-1,3.519490063E-1,3.510990143E-1,7.739059925E-1,9.198201488E-1
1.803856790E-1,3.908179998E-1,3.384130001E-1,8.148090243E-1,9.649745146E-1
1.853986640E-1,3.887769878E-1,3.110040128E-1,8.422709703E-1,9.784127093E-1
1.904115100E-1,4.273799956E-1,2.826060057E-1,8.699089885E-1,1.009584797E0
1.954244520E-1,4.113509953E-1,2.802959979E-1,8.568819761E-1,9.909703370E-1
2.004371450E-1,3.952549994E-1,2.768819928E-1,8.576570153E-1,9.841065534E-1
2.054500780E-1,3.656890094E-1,2.862460017E-1,8.040710092E-1,9.285447824E-1
2.104629240E-1,3.362559974E-1,2.811560035E-1,7.778480053E-1,8.928405868E-1
2.154758420E-1,2.934570014E-1,2.752999961E-1,7.517259717E-1,8.526423846E-1
2.204885340E-1,2.375019938E-1,2.686350048E-1,7.256919742E-1,8.094447506E-1
2.255014480E-1,1.685030013E-1,2.886280119E-1,6.860809922E-1,7.631556320E-1
2.305142940E-1,1.139750034E-1,3.351730108E-1,6.601240039E-1,7.490627137E-1
2.355272370E-1,4.700500146E-2,3.539730012E-1,6.205229759E-1,7.159295492E-1
2.405399290E-1,-3.250399977E-2,3.450570107E-1,5.672810078E-1,6.647770998E-1
2.455531160E-1,-7.029200345E-2,3.494429886E-1,5.276370049E-1,6.367512677E-1
2.505658080E-1,-1.209279969E-1,3.394269943E-1,5.152999759E-1,6.287832139E-1
2.555786640E-1,-2.117509991E-1,3.557130098E-1,5.303090215E-1,6.727539589E-1
2.605915880E-1,-2.923420072E-1,3.529939950E-1,5.190610290E-1,6.924543028E-1
2.656042700E-1,-1.128989980E-1,2.428199947E-1,5.031179786E-1,5.699433603E-1
2.706171930E-1,-1.766269952E-1,2.391459942E-1,4.252560139E-1,5.188743386E-1
2.756300390E-1,-1.952279955E-1,2.082310021E-1,4.008159935E-1,4.920646107E-1
2.806429620E-1,-2.158730030E-1,2.320519984E-1,2.947680056E-1,4.328249768E-1
2.856556500E-1,-3.187820017E-1,2.691670060E-1,2.024729997E-1,4.637544149E-1
2.906685730E-1,-4.219970107E-1,3.462840021E-1,1.104030013E-1,5.569406699E-1
2.956814050E-1,-4.985710084E-1,4.227690101E-1,-8.704000153E-3,6.537449395E-1
3.006943280E-1,-5.759350061E-1,5.394179821E-1,-1.684439927E-1,8.068743827E-1
3.057070150E-1,-6.269400120E-1,6.561179757E-1,-3.144800067E-1,9.604385724E-1
3.107199380E-1,-7.056180239E-1,7.454180121E-1,-4.740360081E-1,1.130599374E0
3.157328220E-1,-7.572489977E-1,8.078169823E-1,-6.608489752E-1,1.289463334E0
3.207458220E-1,-8.087729812E-1,8.571540117E-1,-8.749870062E-1,1.467797328E0
3.257586550E-1,-9.148480296E-1,8.807860017E-1,-1.089409947E0,1.673184070E0
3.307713470E-1,-1.062013030E0,8.923649788E-1,-1.304123998E0,1.903923930E0
3.357842700E-1,-1.168637991E0,9.200310111E-1,-1.505707979E0,2.116442377E0
3.407971160E-1,-1.234797955E0,9.779660106E-1,-1.653429985E0,2.283631805E0
3.458100530E-1,-1.301509976E0,9.992079735E-1,-1.720299959E0,2.377346576E0
3.508227460E-1,-1.341452956E0,9.296849966E-1,-1.706419945E0,2.361287626E0
3.558356690E-1,-1.272765040E0,7.426959872E-1,-1.557438016E0,2.144094529E0
3.608485150E-1,-1.122815967E0,5.201830268E-1,-1.341488004E0,1.825074284E0
3.658614530E-1,-8.234810233E-1,2.618120015E-1,-9.631440043E-1,1.293952431E0
3.708743760E-1,-5.110020041E-1,4.893900082E-2,-4.767810106E-1,7.005984628E-1
